Datum,Dauer,Anzahl
04.09.24,3,8
17.09.24,1.5,5
24.09.24,1.5,7
26.09.24,3,18
01.10.24,1.5,6
01.10.24,3,28
01.10.24,3,7
01.10.24,3,9
02.10.24,3,17
02.10.24,3,21
03.10.24,3,17
08.10.24,1.5,6
10.10.24,1.5,7
10.10.24,1.5,6
10.10.24,1.5,6
10.10.24,2,8
12.10.24,3,27
15.10.24,1.5,5
15.10.24,3,20
15.10.24,3,18
17.10.24,1.5,6
17.10.24,1.5,6
17.10.24,1.5,5
22.10.24,1.5,7
24.10.24,1.5,8
24.10.24,1.5,6
24.10.24,1.5,6
31.10.24,2,8
01.11.24,2,7
04.11.24,3,27
05.11.24,3,26
05.11.24,1.5,7
07.11.24,3,5
19.11.24,1.5,9
20.11.24,1.5,16
20.11.24,1.5,16
20.11.24,1.5,15
21.11.24,1.5,6
21.11.24,1.5,7
21.11.24,1.5,6
24.10.24,3,3
25.11.24,8,37
26.11.24,8,37
27.11.24,8,37
26.11.24,1.5,8
27.11.24,3,17
28.11.24,1.5,6
28.11.24,1.5,7
28.11.24,1.5,6
29.11.24,3,10
29.11.24,3,11
02.12.24,3,13
03.12.24,1.5,10
04.12.24,3,15
05.12.24,1.5,6
05.12.24,1.5,6
05.12.24,1.5,4
06.12.24,3,16
09.12.24,3,9
10.12.24,1.5,4
10.12.24,3,11
10.12.24,3,13
11.12.24,3,19
13.12.24,3,17
17.12.24,2,8
19.12.24,1.5,8
19.12.24,1.5,4
19.12.24,1.5,5
19.12.24,5,36
19.12.24,5,17
19.12.24,5,29
07.01.25,4,30
07.01.25,1.5,6
09.01.25,1.5,4
09.01.25,1.5,5
09.01.25,1.5,5
10.01.25,4,22
13.01.25,4,24
14.01.25,1.5,28
14.01.25,"1,5",22
16.01.25,1.5,28
16.01.25,"1,5",22
16.01.25,1.5,5
